State;dropit;2018;2017;2016;2015;2014
Alabama;102;89,8;90,5;90,8;89,8;88
Alaska;120;88;86,1;85,5;85,5;82,5
Arizona;106;89,4;90;90;88,9;86,3
Arkansas;83;91,7;92;92;90,6;88,2
California;72;92,8;92,8;92,6;91,5;87,5
Colorado;77;92,3;92,5;92,3;91,9;89,4
Connecticut;53;94,7;94,4;95,1;93,9;93
Delaware;58;94,2;94,4;94,2;94,4;92,6
District of Columbia;32;96,8;96,4;96;96,3;94,5
Florida;132;86,8;87,1;87,5;86,6;83,4
Georgia;138;86,2;86,6;87,1;86,1;84,2
Hawaii;39;96,1;96,2;96,5;96,2;95,1
Idaho;111;88,9;89,3;89,7;88,7;86,6
Illinois;71;92,9;93,1;93,5;92,9;90,1
Indiana;85;91,5;91,6;91,9;90,1;88
Iowa;49;95,1;95,6;96;95,1;94,3
Kansas;87;91,3;91,5;91,6;90,7;89,4
Kentucky;56;94,4;94,5;94,8;93,9;91,2
Louisiana;79;92,1;91,7;89,8;87,9;85,5
Maine;78;92,2;92,2;92,1;91,4;90,2
Maryland;60;94;93,9;93,9;93,3;92,1
Massachusetts;27;97,3;97,2;97,5;97,2;96,6
Michigan;54;94,6;94,9;94,7;94;91,6
Minnesota;43;95,7;95,5;95,8;95,5;94
Mississippi;123;87,7;87,9;88,2;87,5;85,5
Missouri;94;90,6;90,9;91;90,2;88,4
Montana;81;91,9;90,9;91,6;88,4;86,3
Nebraska;85;91,5;91,4;91,1;92,2;90,7
Nevada;114;88,6;88,9;88,9;87,7;84,7
New Hampshire;52;94,8;94,3;93,6;93,1;90,6
New Jersey;74;92,6;92,4;92,3;91,2;89
New Mexico;93;90,7;90,9;91;89,1;85,2
New York;53;94,7;94,3;93,9;92,9;91,4
North Carolina;109;89,1;89,3;89,5;88,7;86,8
North Dakota;77;92,3;92,5;92,2;91,7;91,9
Ohio;65;93,5;94,2;94,4;93,5;91,6
Oklahoma;137;86,3;86;86,2;85,8;84,8
Oregon;72;92,8;93,2;93,8;93;90,2
Pennsylvania;56;94,4;94,5;94,2;93,7;91,4
Rhode Island;40;96;95,5;95,8;94,8;92,9
South Carolina;105;89,5;88,9;90,1;89,2;86,4
South Dakota;94;90,6;90,8;91,7;88,8;90
Tennessee;102;89,8;90,6;90,9;89,7;88,1
Texas;177;82,3;82,6;83,4;83;80,9
Utah;90;91;91;91,5;89,3;87,6
Vermont;41;95,9;95,8;96,4;96,1;95,3
Virginia;87;91,3;91,2;91,2;90,7;89,1
Washington;65;93,5;93,9;94,1;93,5;90,8
West Virginia;62;93,8;94,2;95,1;94,5;91,1
Wisconsin;55;94,5;94,9;94,8;94,2;92,6
Wyoming;106;89,4;87,7;89;89,6;87,6
